,Occurrences,Hindawi (5594310),Giga (5594256),lemma#pos,Gloss,Answer1 - Egyptian,Answer2 - Syrian,Answer3 - Saudi Arabian,readability (rounded average),lemma,pos,4,12,6,13,10,14,11,8,7,2,5,15,9,3,17,16,19,18,1,First_Level,Total,Levels,First_Level_Margin_0.01,First_Level_Margin_0.02,samerMSADA
72,10385,34.77%,65.23%,مُنْذُ#prep,since;for;in;ago,3,2,2,2,مُنْذُ,prep,0,132,2,28,77,139,36,13,12,0,0,34,6,0,3,17,0,0,0,6,499.0,12.0,7.0,7.0,2
73,10373,64.09%,35.91%,ما#conj_sub,that/if/unless/whether/as_long_as/as_soon_as,4,3,3,3,ما,conj_sub,0,160,0,74,82,142,31,23,6,0,2,38,4,0,13,18,3,5,0,5,598.0,13.0,7.0,8.0,3
74,10327,68.91%,31.09%,لٰكِنْ#conj,"But,_however,_yet,_still,_nevertheless,_on_the_other_hand",2,2,2,2,لٰكِنْ,conj,0,162,0,72,132,109,72,70,3,0,2,20,15,0,5,13,0,0,0,5,675.0,12.0,8.0,8.0,2
75,10305,69.63%,30.37%,وَجَد#verb,find#be_found;exist,2,1,1,1,وَجَد,verb,1,259,10,101,146,186,77,90,33,0,11,56,25,0,6,14,0,1,0,4,1016.0,15.0,5.0,7.0,1
76,10283,31.25%,68.75%,حَيْثُ#adv_rel,with/by_+_where;whereby;since;given_that#where;whereby;since;given_that,3,3,2,3,حَيْثُ,adv_rel,0,206,1,49,59,293,60,13,5,0,0,59,16,0,16,31,0,0,0,6,808.0,12.0,8.0,9.0,3
77,10282,32.01%,67.99%,كَبِير#adj,large;great;important;major;senior#senior;important,1,1,1,1,كَبِير,adj,2,246,5,64,128,225,100,43,34,2,7,65,26,7,7,14,0,0,0,2,975.0,16.0,5.0,7.0,1
78,10234,78.00%,22.00%,هَلْ#part_interrog,do?;is?,2,1,1,1,هَلْ,part_interrog,1,138,5,28,111,56,37,97,317,0,10,13,47,0,6,11,0,1,3,1,881.0,16.0,5.0,7.0,1
79,10206,28.87%,71.13%,أَيّ#noun_quant,any,1,1,1,1,أَيّ,noun_quant,0,148,2,49,82,132,55,42,12,0,5,32,12,0,4,6,0,0,0,5,581.0,13.0,7.0,7.0,1
80,10152,62.02%,37.98%,حَتَّى#prep,until;up_to,1,2,1,1,حَتَّى,prep,0,191,1,68,97,154,72,53,6,0,0,51,7,0,3,13,0,0,0,6,716.0,12.0,8.0,8.0,1
81,10030,89.97%,10.03%,عَلِم#verb,know;find_out#know;be_aware#be_known;be_found_out,1,2,1,1,عَلِم,verb,0,87,5,32,69,66,30,27,10,0,2,18,13,0,5,12,1,1,0,5,377.0,14.0,6.0,7.0,1
82,10007,52.48%,47.52%,ٱِسْم#noun,name#in/by_+_(the)_Name_of_+_[def.gen.],1,1,1,1,ٱِسْم,noun,4,256,9,63,175,231,103,43,52,9,18,52,7,13,15,12,0,0,1,1,1063.0,17.0,3.0,4.0,1
83,9951,98.94%,1.06%,لَمّا#conj_sub,"as,_when",1,1,1,1,لَمّا,conj_sub,0,54,0,84,22,38,17,16,1,0,0,13,8,0,1,3,0,0,0,7,257.0,11.0,8.0,8.0,1
84,9929,94.35%,5.65%,سَمِع#verb,hear;listen#be_heard;be_listened_to,1,1,1,1,سَمِع,verb,0,108,6,70,72,45,31,34,11,0,8,9,13,1,3,1,1,0,0,3,412.0,14.0,5.0,6.0,1
85,9718,84.77%,15.23%,باب#noun,doors;gates#door;gate,1,1,1,1,باب,noun,0,99,2,35,50,43,41,35,32,1,8,13,9,2,1,4,0,0,2,1,377.0,16.0,4.0,5.0,1
86,9718,88.29%,11.71%,عَيْن#noun,eye#notables;VIP's#ain_(Arabic_letter),1,1,1,1,عَيْن,noun,1,131,3,92,58,96,55,16,28,0,7,30,20,1,7,8,2,3,0,3,556.0,16.0,5.0,7.0,1
