Occurrences,Rank,Lemma,POS,SAMER  Avg,MSA-DA,Class,Syllable Count,MSA-DA Score,Rank Score,Class Score,Compound Score,BAREC Level E1,numeric barec level
"3,923",312,دَاخِل,noun,1,MSA,Closed,2,4,2,1,14,د,4
"3,916",313,وَرَاء,noun,1,D~,Closed,2,2,2,1,12,ج,3
"3,913",314,أَصَاب,verb,2,MSA,Open,3,4,2,2,27,ي,10
"3,900",315,إِلَّا,prep,1,D=,Closed,2,1,2,1,11,ج,3
"3,887",316,ٱِجْتِمَاع,noun,1,D=,Open,3,1,2,2,13,د,4
"3,862",317,دَار,verb,2,D=,Open,1,1,2,2,19,ز,7
"3,861",318,ٱِتِّفَاق,noun,1,D~,Open,3,2,2,2,14,د,4
"3,859",319,عَالَم,noun,3,D=,Open,3,1,2,2,29,ك,11
"3,850",320,زَوْج,noun,1,D=,Open,1,1,2,2,11,ج,3
"3,848",321,بَرْنَامَج,noun,1,D=,Open,3,1,2,2,13,د,4
"3,846",322,رِسَالَة,noun,1,D=,Open,3,1,2,2,13,د,4
"3,844",323,سِعْر,noun,1,D=,Open,1,1,2,2,11,ج,3
"3,829",324,فَوْق,noun,1,D~,Closed,1,2,2,1,11,ج,3
"3,828",325,ٱِقْتِصَادِيّ,adj,3,D=,Open,4,1,2,2,30,ك,11
"3,824",326,قَدَم,noun,1,MSA,Open,2,4,2,2,15,ه,5
"3,820",327,حَاوَل,verb,1,MSA,Open,2,4,2,2,15,ه,5
"3,804",328,جَرَى,verb,2,MSA,Open,2,4,2,2,26,ي,10
"3,798",329,كَيْفَ,adv_rel,2,D=,Closed,2,1,2,1,18,و,6
"3,797",330,مَوْقِف,noun,2,D=,Open,2,1,2,2,20,ز,7
"3,768",331,حَتَّى,part,1,D=,Closed,2,1,2,1,11,ج,3
"3,752",332,شَارِع,noun,1,D=,Open,2,1,2,2,12,ج,3
"3,748",333,مَالِي,noun_prop,4,D=,Open,2,1,2,2,36,ل,12
